#ID = Affymetrix Probe Set ID
#ORF = Entrez Gene Link
#SPOT_ID = identifies controls
#Species Scientific Name = The genus and species of the organism represented by the probe set.
#Annotation Date = The date that the annotations for this probe array were last updated. It will generally be earlier than the date when the annotations were posted on the Affymetrix web site.
#Sequence Type = 
#Sequence Source = The database from which the sequence used to design this probe set was taken.
#Target Description = GenBank description associated with the representative public identifier. Blank for some probe sets.
#Representative Public ID = The accession number of a representative sequence. Note that for consensus-based probe sets, the representative sequence is only one of several sequences (sequence sub-clusters) used to build the consensus sequence and it is not directly used to derive the probe sequences. The representative sequence is chosen during array design as a sequence that is best associated with the transcribed region being interrogated by the probe set. Refer to the Sequence Source field to determine the database used.
#Gene Title = Title of Gene represented by the probe set.
#Gene Symbol = A gene symbol, when one is available (from UniGene).
#ENTREZ_GENE_ID = Entrez Gene Database UID
#RefSeq Transcript ID = 
#SGD accession number = SGD accession number
#Gene Ontology Biological Process = Gene Ontology Consortium Biological Process derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
#Gene Ontology Cellular Component = Gene Ontology Consortium Cellular Component derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
#Gene Ontology Molecular Function = Gene Ontology Consortium Molecular Function derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
ID	ORF	SPOT_ID	Species Scientific Name	Annotation Date	Sequence Type	Sequence Source	Target Description	Representative Public ID	Gene Title	Gene Symbol	ENTREZ_GENE_ID	RefSeq Transcript ID	SGD accession number	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function
10010_at	YLR295C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR295C ATP synthase subunit h	YLR295C	Subunit h of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; protein abundance increases in response to DNA replication stress	ATP14	851002	NM_001182183	S000004286	0006200 // ATP catabolic process // inferred from direct assay /// 0006754 // ATP biosynthetic process // inferred from electronic annotation /// 0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation /// 0015986 // ATP synthesis coupled proton transport // inferred from direct assay /// 0015986 // ATP synthesis coupled proton transport // inferred from mutant phenotype /// 0015986 // ATP synthesis coupled proton transport // inferred from physical interaction /// 0015992 // proton transport // inferred from electronic annotation /// 0033615 // mitochondrial proton-transporting ATP synthase complex assembly // inferred from mutant phenotype /// 0042407 // cristae formation // inferred from mutant phenotype	0000276 // mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) // inferred from mutant phenotype /// 0000276 // mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) // inferred from physical interaction /// 0005739 // mitochondrion // inferred from direct assay /// 0005739 // mitochondrion // inferred from electronic annotation /// 0005743 // mitochondrial inner membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // not recorded /// 0045263 // proton-transporting ATP synthase complex, coupling factor F(o) // inferred from electronic annotation	0016887 // ATPase activity // inferred from direct assay /// 0046933 // proton-transporting ATP synthase activity, rotational mechanism // inferred from direct assay /// 0046933 // proton-transporting ATP synthase activity, rotational mechanism // inferred from mutant phenotype /// 0046961 // proton-transporting ATPase activity, rotational mechanism // inferred from direct assay
10011_at	YLR296W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR296W hypothetical protein	YLR296W							0016021 // integral component of membrane // inferred from electronic annotation	
10012_at	YLR297W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR297W weak similarity to Vibrio vulnificus VvpC protein	YLR297W	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; not an essential gene; induced by treatment with 8-methoxypsoralen and UVA irradiation; relocalizes from nucleus to vacuole upon DNA replication stress; YLR297W has a paralog, YOR186W, that arose from the whole genome duplication	YLR297W	851004	NM_001182185	S000004288		0000324 // fungal-type vacuole // inferred from direct assay /// 0000329 // fungal-type vacuole membrane // inferred from direct assay /// 0005634 // nucleus // inferred from direct assay /// 0005737 // cytoplasm // inferred from direct assay /// 0005773 // vacuole // inferred from electronic annotation /// 0005774 // vacuolar membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation	
10013_at	YLR298C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR298C U1 snRNP protein required for pre-mRNA splicing	YLR298C	Component of the U1 snRNP complex required for pre-mRNA splicing; putative ortholog of human U1C protein, which is involved in formation of a complex between U1 snRNP and the pre-mRNA 5' splice site	YHC1	851005	NM_001182186	S000004289	0000387 // spliceosomal snRNP assembly // inferred from electronic annotation /// 0000395 // mRNA 5'-splice site recognition // inferred from electronic annotation /// 0000395 // mRNA 5'-splice site recognition // inferred from mutant phenotype /// 0000398 // mRNA splicing, via spliceosome // inferred from electronic annotation /// 0000398 // mRNA splicing, via spliceosome // inferred from physical interaction	0000243 // commitment complex // inferred from electronic annotation /// 0000243 // commitment complex // inferred from physical interaction /// 0005634 // nucleus // inferred from electronic annotation /// 0005685 // U1 snRNP // inferred from direct assay /// 0005685 // U1 snRNP // inferred from electronic annotation /// 0030529 // ribonucleoprotein complex // inferred from electronic annotation /// 0071004 // U2-type prespliceosome // inferred from direct assay /// 0071004 // U2-type prespliceosome // inferred from electronic annotation	0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0003729 // mRNA binding // inferred from electronic annotation /// 0003729 // mRNA binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0030619 // U1 snRNA binding // inferred from electronic annotation /// 0030627 // pre-mRNA 5'-splice site binding // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation
10014_at	YLR299W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR299W gamma-glutamyltransferase homolog	YLR299W	Gamma-glutamyltranspeptidase; major glutathione-degrading enzyme; involved in detoxification of electrophilic xenobiotics; expression induced mainly by nitrogen starvation	ECM38	851006	NM_001182187	S000004290	0006508 // proteolysis // inferred from electronic annotation /// 0006749 // glutathione metabolic process // inferred from electronic annotation /// 0006751 // glutathione catabolic process // inferred from mutant phenotype /// 0006805 // xenobiotic metabolic process // inferred from mutant phenotype	0000324 // fungal-type vacuole // inferred from direct assay /// 0005773 // vacuole // inferred from electronic annotation /// 0005774 // vacuolar membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation	0003840 // gamma-glutamyltransferase activity // inferred from electronic annotation /// 0003840 // gamma-glutamyltransferase activity // inferred from mutant phenotype /// 0008233 // peptidase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016746 // transferase activity, transferring acyl groups // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0036374 // glutathione hydrolase activity // inferred from electronic annotation
10015_at	YLR300W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR300W Exo-1,3-beta-glucanase	YLR300W	Major exo-1,3-beta-glucanase of the cell wall; involved in cell wall beta-glucan assembly; exists as three differentially glycosylated isoenzymes; EXG1 has a paralog, SPR1, that arose from the whole genome duplication	EXG1	851007	NM_001182188	S000004291	0005975 // carbohydrate metabolic process // inferred from electronic annotation /// 0006073 // cellular glucan metabolic process // inferred from genetic interaction /// 0006073 // cellular glucan metabolic process // inferred from mutant phenotype /// 0008152 // metabolic process // inferred from electronic annotation /// 0031505 // fungal-type cell wall organization // inferred from sequence or structural similarity	0005576 // extracellular region // inferred from direct assay /// 0005576 // extracellular region // inferred from electronic annotation /// 0005618 // cell wall // inferred from electronic annotation /// 0009277 // fungal-type cell wall // inferred from direct assay	0003824 // catalytic activity // inferred from electronic annotation /// 0004338 // glucan exo-1,3-beta-glucosidase activity // inferred from electronic annotation /// 0004338 // glucan exo-1,3-beta-glucosidase activity // inferred from sequence or structural similarity /// 0004553 // hydrolase activity, hydrolyzing O-glycosyl compounds // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016798 // hydrolase activity, acting on glycosyl bonds // inferred from electronic annotation /// 0043169 // cation binding // inferred from electronic annotation
10016_at	YLR301W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR301W hypothetical protein	YLR301W	Protein of unknown function that interacts with Sec72p and Hrr25p	HRI1	851008	NM_001182189	S000004292	0006613 // cotranslational protein targeting to membrane // inferred from physical interaction	0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005789 // endoplasmic reticulum membrane // inferred from physical interaction	
10017_at	YLR302C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR302C questionable ORF	YLR302C							0016021 // integral component of membrane // inferred from electronic annotation	
10018_at	YLR303W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR303W O-Acetylhomoserine-O-Acetylserine Sulfhydralase	YLR303W	O-acetyl homoserine-O-acetyl serine sulfhydrylase; required for Methionine and cysteine biosynthesis	MET17	851010	NM_001182191	S000004294	0006520 // cellular amino acid metabolic process // inferred from electronic annotation /// 0006555 // methionine metabolic process // inferred from mutant phenotype /// 0008152 // metabolic process // inferred from electronic annotation /// 0008652 // cellular amino acid biosynthetic process // inferred from electronic annotation /// 0009086 // methionine biosynthetic process // inferred from electronic annotation /// 0019344 // cysteine biosynthetic process // inferred from electronic annotation /// 0019344 // cysteine biosynthetic process // traceable author statement /// 0071266 // 'de novo' L-methionine biosynthetic process // inferred from electronic annotation	0005737 // cytoplasm // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005886 // plasma membrane // inferred from direct assay	0003824 // catalytic activity // inferred from electronic annotation /// 0003961 // O-acetylhomoserine aminocarboxypropyltransferase activity // inferred from direct assay /// 0003961 // O-acetylhomoserine aminocarboxypropyltransferase activity // inferred from electronic annotation /// 0003961 // O-acetylhomoserine aminocarboxypropyltransferase activity // traceable author statement /// 0004124 // cysteine synthase activity // inferred from direct assay /// 0004124 // cysteine synthase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016765 // transferase activity, transferring alkyl or aryl (other than methyl) groups // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation
10019_at	YLR304C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR304C Aconitase, mitochondrial	YLR304C	Aconitase; required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy	ACO1	851013	NM_001182192	S000004295	0000002 // mitochondrial genome maintenance // inferred from mutant phenotype /// 0006099 // tricarboxylic acid cycle // inferred from direct assay /// 0006099 // tricarboxylic acid cycle // inferred from electronic annotation /// 0006101 // citrate metabolic process // traceable author statement /// 0006537 // glutamate biosynthetic process // traceable author statement /// 0008152 // metabolic process // inferred from electronic annotation /// 0019541 // propionate metabolic process // inferred from expression pattern	0005737 // cytoplasm // inferred from electronic annotation /// 0005739 // mitochondrion // inferred from direct assay /// 0005739 // mitochondrion // inferred from electronic annotation /// 0005758 // mitochondrial intermembrane space // traceable author statement /// 0005759 // mitochondrial matrix // inferred from direct assay /// 0005829 // cytosol // inferred from direct assay /// 0042645 // mitochondrial nucleoid // inferred from direct assay	0003690 // double-stranded DNA binding // inferred from direct assay /// 0003697 // single-stranded DNA binding // inferred from direct assay /// 0003994 // aconitate hydratase activity // inferred from direct assay /// 0003994 // aconitate hydratase activity // inferred from electronic annotation /// 0003994 // aconitate hydratase activity // inferred from mutant phenotype /// 0016829 // lyase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051536 // iron-sulfur cluster binding // inferred from electronic annotation /// 0051539 // 4 iron, 4 sulfur cluster binding // inferred from electronic annotation /// 0052633 // isocitrate hydro-lyase (cis-aconitate-forming) activity // inferred from electronic annotation
10020_at	YLR305C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR305C encodes a phosphatidylinositol-4-kinase, homologous to VPC34	YLR305C	Phosphatidylinositol-4-kinase; functions in the Pkc1p protein kinase pathway; required for normal vacuole morphology, cell wall integrity, and actin cytoskeleton organization	STT4	851014	NM_001182193	S000004296	0016310 // phosphorylation // inferred from electronic annotation /// 0046854 // phosphatidylinositol phosphorylation // inferred from direct assay /// 0046854 // phosphatidylinositol phosphorylation // inferred from electronic annotation /// 0046854 // phosphatidylinositol phosphorylation // inferred from genetic interaction /// 0048015 // phosphatidylinositol-mediated signaling // inferred from electronic annotation	0005739 // mitochondrion // inferred from direct assay /// 0005886 // plasma membrane // inferred from direct assay	0000166 // nucleotide binding // inferred from electronic annotation /// 0004430 // 1-phosphatidylinositol 4-kinase activity // inferred from direct assay /// 0004430 // 1-phosphatidylinositol 4-kinase activity // inferred from electronic annotation /// 0004430 // 1-phosphatidylinositol 4-kinase activity // inferred from mutant phenotype /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016772 // transferase activity, transferring phosphorus-containing groups // inferred from electronic annotation /// 0016773 // phosphotransferase activity, alcohol group as acceptor // inferred from electronic annotation
10021_at	YLR306W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR306W Ubiquitin-conjugating enzyme	YLR306W	Enzyme that mediates the conjugation of Rub1p; a ubiquitin-like protein, to other proteins; related to E2 ubiquitin-conjugating enzymes	UBC12	851015	NM_001182194	S000004297	0045116 // protein neddylation // inferred from direct assay /// 0045116 // protein neddylation // inferred from electronic annotation /// 0045116 // protein neddylation // inferred from mutant phenotype /// 0045116 // protein neddylation // inferred from sequence or structural similarity		0000166 // nucleotide binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0016881 // acid-amino acid ligase activity // inferred from electronic annotation /// 0019788 // NEDD8 ligase activity // inferred from direct assay /// 0019788 // NEDD8 ligase activity // inferred from mutant phenotype /// 0019788 // NEDD8 ligase activity // inferred from sequence or structural similarity
10022_at	YLR307W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR307W Chitin Deacetylase	YLR307W	Chitin deacetylase; together with Cda2p involved in the biosynthesis ascospore wall component, chitosan; required for proper rigidity of the ascospore wall	CDA1	851016	NM_001182195	S000004298	0000272 // polysaccharide catabolic process // inferred from electronic annotation /// 0005975 // carbohydrate metabolic process // inferred from electronic annotation /// 0006032 // chitin catabolic process // inferred from electronic annotation /// 0030435 // sporulation resulting in formation of a cellular spore // inferred from electronic annotation /// 0030476 // ascospore wall assembly // inferred from direct assay /// 0030476 // ascospore wall assembly // inferred from mutant phenotype	0005628 // prospore membrane // inferred from direct assay /// 0005631 // chitosan layer of spore wall // inferred from sequence or structural similarity	0003824 // catalytic activity // inferred from electronic annotation /// 0004099 // chitin deacetylase activity // inferred from direct assay /// 0004099 // chitin deacetylase activity // inferred from electronic annotation /// 0004099 // chitin deacetylase activity // inferred from sequence or structural similarity /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016810 // hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds // inferred from electronic annotation
10023_at	YLR308W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR308W Chitin Deacetylase	YLR308W	Chitin deacetylase; together with Cda1p involved in the biosynthesis ascospore wall component, chitosan; required for proper rigidity of the ascospore wall	CDA2	851017	NM_001182196	S000004299	0000272 // polysaccharide catabolic process // inferred from electronic annotation /// 0005975 // carbohydrate metabolic process // inferred from electronic annotation /// 0006032 // chitin catabolic process // inferred from electronic annotation /// 0030435 // sporulation resulting in formation of a cellular spore // inferred from electronic annotation /// 0030476 // ascospore wall assembly // inferred from direct assay /// 0030476 // ascospore wall assembly // inferred from mutant phenotype	0005631 // chitosan layer of spore wall // inferred from sequence or structural similarity	0003824 // catalytic activity // inferred from electronic annotation /// 0004099 // chitin deacetylase activity // inferred from direct assay /// 0004099 // chitin deacetylase activity // inferred from electronic annotation /// 0004099 // chitin deacetylase activity // inferred from sequence or structural similarity /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016810 // hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds // inferred from electronic annotation
